食物,热量,链接
Easy Fun 高蛋白小酥鱼（海苔味）,热量：305 大卡(每100克),http://www.boohee.com/shiwu/fde9dde4
Easy S 低脂鸡胸肉（黑椒味）,热量：134 大卡(每100克),http://www.boohee.com/shiwu/fd49a7d1
Easy Fun 低脂鸡胸肉肠（原味）,热量：131 大卡(每100克),http://www.boohee.com/shiwu/fd041822
猪小排，又叫排骨、猪排,热量：278 大卡(每100克),http://www.boohee.com/shiwu/zhuxiaopai
鸡（土鸡，家养),热量：124 大卡(每100克),http://www.boohee.com/shiwu/ji_tuji_jiayang
鸡（母鸡，一年内）,热量：256 大卡(每100克),http://www.boohee.com/shiwu/muji_yiniannei
鸡（肉鸡，肥）,热量：389 大卡(每100克),http://www.boohee.com/shiwu/rouji_fei
鸭肉，又叫鸭子、鹜肉、家凫肉,热量：240 大卡(每100克),http://www.boohee.com/shiwu/ya_junzhi
猪蹄，又叫猪脚、猪手、猪蹄爪,热量：260 大卡(每100克),http://www.boohee.com/shiwu/zhuti
螃蟹（河蟹），又叫螃蟹、毛蟹、稻蟹、中华绒螯蟹、横行介士、无肠公子,热量：103 大卡(每100克),http://www.boohee.com/shiwu/hexie
Easy Fun 高蛋白小酥鱼（藤椒味）,热量：351 大卡(每100克),http://www.boohee.com/shiwu/fdc19ab3
鸡蛋，又叫鸡子、鸡卵、蛋,热量：144 大卡(每100克),http://www.boohee.com/shiwu/jidan_junzhi
Easy Fun 低脂鸡胸肉肠（香辣味）,热量：136 大卡(每100克),http://www.boohee.com/shiwu/fd7a0fa9
Easy Fun 鸡胸肉丝（原味）,热量：418 大卡(每100克),http://www.boohee.com/shiwu/fda82c33
Easy Fun 低脂鸡胸肉（黑椒味）,热量：134 大卡(每100克),http://www.boohee.com/shiwu/fd1c845f
Easy Fun 低脂鸡胸肉（香辣味）,热量：130 大卡(每100克),http://www.boohee.com/shiwu/fd4a70b4
Easy Fun 低脂鸡胸肉丸（原味），又叫Easy Fun 低脂鸡肉丸（原味）,热量：93 大卡(每100克),http://www.boohee.com/shiwu/fd4e5f89
Easy S 低脂牛肉小方（五香味）,热量：165 大卡(每100克),http://www.boohee.com/shiwu/fd01a3cf
Easy S 低脂鸡蛋干（五香味）,热量：124 大卡(每100克),http://www.boohee.com/shiwu/fd31e13e
Easy S 低脂鸡胸肉（香辣味）,热量：130 大卡(每100克),http://www.boohee.com/shiwu/fd56d800
猪肉（瘦），又叫猪精肉，瘦肉,热量：143 大卡(每100克),http://www.boohee.com/shiwu/zhurou_shou
鸡蛋（煮），又叫水煮蛋，白煮蛋，煮蛋，煮鸡蛋、温泉蛋,热量：151 大卡(每100克),http://www.boohee.com/shiwu/jidan_zhu
鸡蛋白（鸡蛋清），又叫鸡蛋白、鸡蛋清、蛋清、蛋白,热量：60 大卡(每100克),http://www.boohee.com/shiwu/jidanbai_jidanqing
火腿肠,热量：212 大卡(每100克),http://www.boohee.com/shiwu/huotuichang
鸡胸脯肉，又叫鸡柳肉、鸡里脊肉、鸡胸、鸡胸肉,热量：133 大卡(每100克),http://www.boohee.com/shiwu/jixiongfurou
牛肉（牛腩），又叫腹部肉,热量：332 大卡(每100克),http://www.boohee.com/shiwu/niurou_fuburou
荷包蛋（油煎），又叫荷包蛋、煎蛋、煎荷包蛋、煎鸡蛋,热量：195 大卡(每100克),http://www.boohee.com/shiwu/hebaodan_youjian
咸鸭蛋，又叫盐蛋、腌蛋、味蛋,热量：190 大卡(每100克),http://www.boohee.com/shiwu/xianyadan
猪肉(肥瘦)，又叫豕肉、彘肉,热量：395 大卡(每100克),http://www.boohee.com/shiwu/zhurou_feishou
瓦罐鸡汤（含料），又叫瓦罐汤,热量：190 大卡(每100克),http://www.boohee.com/shiwu/waguanjitang_rou
酸奶,热量：72 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_junzhi
全脂牛奶，又叫纯牛奶，牛乳,热量：54 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_junzhi
拿铁（全脂，无糖），又叫拿铁咖啡,热量：44 大卡(每100毫升),http://www.boohee.com/shiwu/fdbb1893
奶酪，又叫乳酪、芝士、起司、计司,热量：328 大卡(每100克),http://www.boohee.com/shiwu/nailao
酸奶（中脂）,热量：64 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_zhongzhi
脱脂酸奶,热量：57 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_tuozhi
脱脂奶粉,热量：356 大卡(每100克),http://www.boohee.com/shiwu/tuozhinaifen
酸奶（调味）,热量：88 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_diaowei
光明 鲜牛奶，又叫光明鲜奶、光明牛奶,热量：60 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_guangmingpai
酸奶(果料)，又叫果料酸奶,热量：67 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_guoliao
Easy Fun 抹茶红豆麦片,热量：381 大卡(每100克),http://www.boohee.com/shiwu/fd1f7c6f
